Player;//name---------------------------------------
	0;//identifier//{
	0;//class
	player.png;//texture
	1;//draw layer
	-1;//corpse item number in items.dat, -1=nothing, -2=whole corpse vanishes when dead
	0;//corpse item amount
	0;//attack type, 0=shooting attack, 1=close combat
	-1;//particle to show on radar, -1=none
	0;//primary AI tactic from AI_tactic.dat
	0;//secondary AI tactic from AI_tactic.dat
	-1;//footstep particle from particles.dat
	0;//die after how many seconds, 0=doesn't die
	-1;//eat item number from items.dat, -1=nothing
	0.600000;//creature size
	1.000000;//creature weight (affects pushing)# 
	0.850000;//maximum movement speed
	0.000000;//minimum movement speed
	0.600000;//leg animation speed
	1.000000;//turn speed
	0.800000;//inertia level (acceleration/deceleration)
	1;//hide when behind walls
	0;//weapon number
	0.000000;//weapon_x
	0.000000;//weapon_y
	0;//blood particle
	1;//bars visible when player hovers mouse on top
	1.000000;//death animation speed
	1;//creature can move from area to another
	1000.000000;//AI hear range
	500.000000;//AI see range 
	4.000000;//AI see angle //TODO: Wake up player on hit
	begin_footstep_sounds
	end_footstep_sounds
	begin_hit_sounds 
	end_hit_sounds
	begin_die_sounds
	end_die_sounds
	begin_eat_block
	end_eat_block
	begin_death_block
	end_death_block
	begin_hit_block
	end_hit_block
	begin_timed_block
	end_timed_block
	begin_specialties
	end_specialties
Toilet;//name--------------------------------------- **BATHROOM**
	100;//identifier//{
	0;//class
	creature_toilet.png;//texture
	0;//draw layer
	-1;//corpse item number in items.dat, -1=nothing, -2=whole corpse vanishes when dead
	0;//corpse item amount
	0;//attack type, 0=shooting attack, 1=close combat
	-1;//particle to show on radar, -1=none
	0;//primary AI tactic from AI_tactic.dat
	0;//secondary AI tactic from AI_tactic.dat
	-1;//footstep particle from particles.dat
	0;//die after how many seconds, 0=doesn't die
	-1;//eat item number from items.dat, -1=nothing
	0.700000;//creature size
	500.000000;//creature weight (affects pushing)# 
	0.000000;//maximum movement speed
	0.000000;//$minimum movement speed
	0.000000;//leg animation speed
	0.000000;//turn speed
	0.000000;//inertia level (acceleration/deceleration)
	0;//hide when behind walls
	0;//weapon number
	0.000000;//weapon_x
	0.000000;//weapon_y
	0;//blood particle
	0;//bars visible when player hovers mouse on top
	1.000000;//death animation speed
	0;//creature can move from area to another
	0.000000;//AI hear range
	0.000000;//AI see range
	0.000000;//AI see angle
	begin_footstep_sounds
	end_footstep_sounds
	begin_hit_sounds
	end_hit_sounds
	begin_die_sounds
	end_die_sounds
	begin_eat_block
	end_eat_block
	begin_death_block
	end_death_block
	begin_hit_block
	end_hit_block
	begin_timed_block
	end_timed_block
	begin_specialties
	end_specialties
Sink;//name--------------------------------------- **BATHROOM**
	101;//identifier//{
	0;//class
	creature_sink.png;//texture
	0;//draw layer
	-1;//corpse item number in items.dat, -1=nothing, -2=whole corpse vanishes when dead
	0;//corpse item amount
	0;//attack type, 0=shooting attack, 1=close combat
	-1;//particle to show on radar, -1=none
	0;//primary AI tactic from AI_tactic.dat
	0;//secondary AI tactic from AI_tactic.dat
	-1;//footstep particle from particles.dat
	0;//die after how many seconds, 0=doesn't die
	-1;//eat item number from items.dat, -1=nothing
	0.700000;//creature size
	500.000000;//creature weight (affects pushing)# 
	0.000000;//maximum movement speed
	0.000000;//$minimum movement speed
	0.000000;//leg animation speed
	0.000000;//turn speed
	0.000000;//inertia level (acceleration/deceleration)
	0;//hide when behind walls
	0;//weapon number
	0.000000;//weapon_x
	0.000000;//weapon_y
	0;//blood particle
	0;//bars visible when player hovers mouse on top
	1.000000;//death animation speed
	0;//creature can move from area to another
	0.000000;//AI hear range
	0.000000;//AI see range
	0.000000;//AI see angle
	begin_footstep_sounds
	end_footstep_sounds
	begin_hit_sounds
	end_hit_sounds
	begin_die_sounds
	end_die_sounds
	begin_eat_block
	end_eat_block
	begin_death_block
	end_death_block
	begin_hit_block
	end_hit_block
	begin_timed_block
	end_timed_block
	begin_specialties
	end_specialties
Plant A;//name--------------------------------------- **PLANTS**
	200;//identifier//{
	1;//class
	creature_plant_0.png;//texture
	0;//draw layer
	-1;//corpse item number in items.dat, -1=nothing, -2=whole corpse vanishes when dead
	0;//corpse item amount
	0;//attack type, 0=shooting attack, 1=close combat
	-1;//particle to show on radar, -1=none
	0;//primary AI tactic from AI_tactic.dat
	0;//secondary AI tactic from AI_tactic.dat
	-1;//footstep particle from particles.dat
	0;//die after how many seconds, 0=doesn't die
	-1;//eat item number from items.dat, -1=nothing
	0.800000;//creature size
	2.000000;//creature weight (affects pushing)# 
	0.000000;//maximum movement speed
	0.000000;//minimum movement speed
	0.000000;//leg animation speed
	0.000000;//turn speed
	0.000000;//inertia level (acceleration/deceleration)
	0;//hide when behind walls
	0;//weapon number
	0.000000;//weapon_x
	0.000000;//weapon_y
	1;//blood particle
	0;//bars visible when player hovers mouse on top
	1.000000;//death animation speed
	0;//creature can move from area to another
	0.000000;//AI hear range
	0.000000;//AI see range
	0.000000;//AI see angle
	begin_footstep_sounds
	end_footstep_sounds
	begin_hit_sounds
		bush_hit_0.wav
		bush_hit_1.wav
		bush_hit_2.wav
	end_hit_sounds
	begin_die_sounds
		wood_smash.wav
	end_die_sounds
	begin_eat_block
	end_eat_block
	begin_death_block
		0;//death type, 0=any death, 1=timed death, 2=killed by player----------------------DROP KINDLING (ALWAYS)
			begin_conditions;
			end_conditions;
			begin_effects;
				3;//effect number----------------------DROP ITEM (KINDLING)
					101.000000;//parameter1
					1.000000;//parameter2
					15.000000;//parameter3
					0.000000;//parameter4		
				26;//effect number----------------------FIRE PARTICLES (WOOD PARTICLES)
					1.000000;//parameter1
					10.000000;//parameter2
					10000.000000;//parameter3
					0.000000;//parameter4	
				26;//effect number----------------------FIRE PARTICLES (BUSH PARTICLES)
					5.000000;//parameter1
					7.000000;//parameter2
					10000.000000;//parameter3
					0.000000;//parameter4		
			end_effects;
		0;//death type, 0=any death, 1=timed death, 2=killed by player----------------------DROP KINDLING (RANDOM CHANCE)
			begin_conditions;
				8;//condition number----------------------RANDOM CHANCE
					5.000000;//condition parameter0
					0.000000;//condition parameter1
			end_conditions;
			begin_effects;
				3;//effect number----------------------DROP ITEM (KINDLING)
					101.000000;//parameter1
					1.000000;//parameter2
					25.000000;//parameter3
					0.000000;//parameter4			
			end_effects;
	end_death_block
	begin_hit_block
	end_hit_block
	begin_timed_block
	end_timed_block
	begin_specialties
		No AI;//description-------------------
			5;//number
			0.000000;//parameter0
			0.000000;//parameter1
			0.000000;//parameter2
			0.000000;//parameter3
		Health;//description------------------- 
			0;//number
			0.000000;//parameter0
			0.000000;//parameter1
			20.000000;//parameter2
			20.000000;//parameter3
	end_specialties
Plant B;//name--------------------------------------- **PLANTS**
	201;//identifier//{
	1;//class
	creature_plant_1.png;//texture
	0;//draw layer
	-1;//corpse item number in items.dat, -1=nothing, -2=whole corpse vanishes when dead
	0;//corpse item amount
	0;//attack type, 0=shooting attack, 1=close combat
	-1;//particle to show on radar, -1=none
	0;//primary AI tactic from AI_tactic.dat
	0;//secondary AI tactic from AI_tactic.dat
	-1;//footstep particle from particles.dat
	0;//die after how many seconds, 0=doesn't die
	-1;//eat item number from items.dat, -1=nothing
	0.700000;//creature size
	2.000000;//creature weight (affects pushing)# 
	0.000000;//maximum movement speed
	0.000000;//$minimum movement speed
	0.000000;//leg animation speed
	0.000000;//turn speed
	0.000000;//inertia level (acceleration/deceleration)
	0;//hide when behind walls
	0;//weapon number
	0.000000;//weapon_x
	0.000000;//weapon_y
	1;//blood particle
	0;//bars visible when player hovers mouse on top
	1.000000;//death animation speed
	0;//creature can move from area to another
	0.000000;//AI hear range
	0.000000;//AI see range
	0.000000;//AI see angle
	begin_footstep_sounds
	end_footstep_sounds
	begin_hit_sounds
		bush_hit_0.wav
		bush_hit_1.wav
		bush_hit_2.wav
	end_hit_sounds
	begin_die_sounds
		wood_smash.wav
	end_die_sounds
	begin_eat_block
	end_eat_block
	begin_death_block
		0;//death type, 0=any death, 1=timed death, 2=killed by player----------------------DROP KINDLING (ALWAYS)
			begin_conditions;
			end_conditions;
			begin_effects;
				3;//effect number----------------------DROP ITEM (KINDLING)
					101.000000;//parameter1
					1.000000;//parameter2
					15.000000;//parameter3
					0.000000;//parameter4		
				26;//effect number----------------------FIRE PARTICLES (WOOD PARTICLES)
					1.000000;//parameter1
					10.000000;//parameter2
					10000.000000;//parameter3
					0.000000;//parameter4	
				26;//effect number----------------------FIRE PARTICLES (BUSH PARTICLES)
					5.000000;//parameter1
					7.000000;//parameter2
					10000.000000;//parameter3
					0.000000;//parameter4		
			end_effects;
		0;//death type, 0=any death, 1=timed death, 2=killed by player----------------------DROP KINDLING (RANDOM CHANCE)
			begin_conditions;
				8;//condition number----------------------RANDOM CHANCE
					5.000000;//condition parameter0
					0.000000;//condition parameter1
			end_conditions;
			begin_effects;
				3;//effect number----------------------DROP ITEM (KINDLING)
					101.000000;//parameter1
					1.000000;//parameter2
					25.000000;//parameter3
					0.000000;//parameter4			
			end_effects;
	end_death_block
	begin_hit_block
	end_hit_block
	begin_timed_block
	end_timed_block
	begin_specialties
		No AI;//description-------------------
			5;//number
			0.000000;//parameter0
			0.000000;//parameter1
			0.000000;//parameter2
			0.000000;//parameter3
		Health;//description------------------- 
			0;//number
			0.000000;//parameter0
			0.000000;//parameter1
			20.000000;//parameter2
			20.000000;//parameter3
	end_specialties
Plant C;//name--------------------------------------- **PLANTS**
	202;//identifier//{
	1;//class
	creature_plant_2.png;//texture
	0;//draw layer
	-1;//corpse item number in items.dat, -1=nothing, -2=whole corpse vanishes when dead
	0;//corpse item amount
	0;//attack type, 0=shooting attack, 1=close combat
	-1;//particle to show on radar, -1=none
	0;//primary AI tactic from AI_tactic.dat
	0;//secondary AI tactic from AI_tactic.dat
	-1;//footstep particle from particles.dat
	0;//die after how many seconds, 0=doesn't die
	-1;//eat item number from items.dat, -1=nothing
	0.700000;//creature size
	2.000000;//creature weight (affects pushing)# 
	0.000000;//maximum movement speed
	0.000000;//$minimum movement speed
	0.000000;//leg animation speed
	0.000000;//turn speed
	0.000000;//inertia level (acceleration/deceleration)
	0;//hide when behind walls
	0;//weapon number
	0.000000;//weapon_x
	0.000000;//weapon_y
	1;//blood particle
	0;//bars visible when player hovers mouse on top
	1.000000;//death animation speed
	0;//creature can move from area to another
	0.000000;//AI hear range
	0.000000;//AI see range
	0.000000;//AI see angle
	begin_footstep_sounds
	end_footstep_sounds
	begin_hit_sounds
		bush_hit_0.wav
		bush_hit_1.wav
		bush_hit_2.wav
	end_hit_sounds
	begin_die_sounds
		wood_smash.wav
	end_die_sounds
	begin_eat_block
	end_eat_block
	begin_death_block
		0;//death type, 0=any death, 1=timed death, 2=killed by player----------------------DROP KINDLING (ALWAYS)
			begin_conditions;
			end_conditions;
			begin_effects;
				3;//effect number----------------------DROP ITEM (KINDLING)
					101.000000;//parameter1
					1.000000;//parameter2
					15.000000;//parameter3
					0.000000;//parameter4			
				26;//effect number----------------------FIRE PARTICLES (WOOD PARTICLES)
					1.000000;//parameter1
					10.000000;//parameter2
					10000.000000;//parameter3
					0.000000;//parameter4	
				26;//effect number----------------------FIRE PARTICLES (BUSH PARTICLES)
					5.000000;//parameter1
					7.000000;//parameter2
					10000.000000;//parameter3
					0.000000;//parameter4	
			end_effects;
		0;//death type, 0=any death, 1=timed death, 2=killed by player----------------------DROP KINDLING (RANDOM CHANCE)
			begin_conditions;
				8;//condition number----------------------RANDOM CHANCE
					5.000000;//condition parameter0
					0.000000;//condition parameter1
			end_conditions;
			begin_effects;
				3;//effect number----------------------DROP ITEM (KINDLING)
					101.000000;//parameter1
					1.000000;//parameter2
					25.000000;//parameter3
					0.000000;//parameter4			
			end_effects;
	end_death_block
	begin_hit_block
	end_hit_block
	begin_timed_block
	end_timed_block
	begin_specialties
		No AI;//description-------------------
			5;//number
			0.000000;//parameter0
			0.000000;//parameter1
			0.000000;//parameter2
			0.000000;//parameter3
		Health;//description------------------- 
			0;//number
			0.000000;//parameter0
			0.000000;//parameter1
			20.000000;//parameter2
			20.000000;//parameter3
	end_specialties
Plant D;//name--------------------------------------- **PLANTS**
	203;//identifier//{
	1;//class
	creature_plant_3.png;//texture
	0;//draw layer
	-1;//corpse item number in items.dat, -1=nothing, -2=whole corpse vanishes when dead
	0;//corpse item amount
	0;//attack type, 0=shooting attack, 1=close combat
	-1;//particle to show on radar, -1=none
	0;//primary AI tactic from AI_tactic.dat
	0;//secondary AI tactic from AI_tactic.dat
	-1;//footstep particle from particles.dat
	0;//die after how many seconds, 0=doesn't die
	-1;//eat item number from items.dat, -1=nothing
	1.000000;//creature size
	3.000000;//creature weight (affects pushing)# 
	0.000000;//maximum movement speed
	0.000000;//$minimum movement speed
	0.000000;//leg animation speed
	0.000000;//turn speed
	0.000000;//inertia level (acceleration/deceleration)
	0;//hide when behind walls
	0;//weapon number
	0.000000;//weapon_x
	0.000000;//weapon_y
	1;//blood particle
	0;//bars visible when player hovers mouse on top
	1.000000;//death animation speed
	0;//creature can move from area to another
	0.000000;//AI hear range
	0.000000;//AI see range
	0.000000;//AI see angle
	begin_footstep_sounds
	end_footstep_sounds
	begin_hit_sounds
		bush_hit_0.wav
		bush_hit_1.wav
		bush_hit_2.wav
	end_hit_sounds
	begin_die_sounds
		wood_smash.wav
	end_die_sounds
	begin_eat_block
	end_eat_block
	begin_death_block
		0;//death type, 0=any death, 1=timed death, 2=killed by player----------------------DROP KINDLING (ALWAYS)
			begin_conditions;
			end_conditions;
			begin_effects;
				3;//effect number----------------------DROP ITEM (KINDLING)
					101.000000;//parameter1
					1.000000;//parameter2
					15.000000;//parameter3
					0.000000;//parameter4		
				26;//effect number----------------------FIRE PARTICLES (WOOD PARTICLES)
					1.000000;//parameter1
					10.000000;//parameter2
					10000.000000;//parameter3
					0.000000;//parameter4	
				26;//effect number----------------------FIRE PARTICLES (BUSH PARTICLES)
					5.000000;//parameter1
					7.000000;//parameter2
					10000.000000;//parameter3
					0.000000;//parameter4		
			end_effects;
