Punch;//name---------------------------------------
	0;//identifier
	0;//item class
	0.000000;//weight
	This item is used to open the inventory when the I key is pressed.;//short description
	none;//first pick up text
	0.500000;//size on map
	0;//show on radar 0=does not show, 1=show on scanner, 2=show even without scanner
	0;//particle to shown on radar
	0;//visible in inventory 0=no (can only be used via quick keys), 1=yes
	prop1.png;//texture name
	-1;//wielded script,-1=nothing, only applicable for wieldable items
	-1;//wielded item disabling script, -1=nothing, this script is only checked for conditions while the item is wielded, if the conditions prove false, the item is unwielded
	0;//show help text for conditions
	begin_wield_slots;
	end_wield_slots;
	begin_effects_block;
	end_effects_block;
	begin_combinations;
	end_combinations;
Plastic and rubber scrap;//name---------------------------------------[MATERIALS]
	100;//identifier
	0;//item class
	0.500000;//weight
	A small pile of plastic scrap, rubber and components.;//short description
	none;//first pick up text
	0.500000;//size on map
	0;//show on radar 0=does not show, 1=show on scanner, 2=show even without scanner
	0;//particle to shown on radar
	1;//visible in inventory 0=no (can only be used via quick keys), 1=yes
	scrap_plastic.png;//texture name
	-1;//wielded script,-1=nothing, only applicable for wieldable items
	-1;//wielded item disabling script, -1=nothing, this script is only checked for conditions while the item is wielded, if the conditions prove false, the item is unwielded
	0;//show help text for conditions
	begin_wield_slots;
	end_wield_slots;
	begin_effects_block;
	end_effects_block;
	begin_combinations;
		1;//discard this item after combine
    		103;//combines with ----------------------METAL SCRAP
    		1;//discard that item after combine
    		6;//combine time
    		1;//can be broken up
			begin_items_given;
				307;//result of combine ----------------------UNFINISHED Makeshift stun gun (1-5)
				1;//amount to give
    		end_items_given;
	end_combinations;
Kindling;//name---------------------------------------[MATERIALS]
	101;//identifier
	0;//item class
	0.500000;//weight
	Easily combustible material for starting a fire.;//short description
	none;//first pick up text
	0.600000;//size on map
	0;//show on radar 0=does not show, 1=show on scanner, 2=show even without scanner
	0;//particle to shown on radar
	1;//visible in inventory 0=no (can only be used via quick keys), 1=yes
	kindling.png;//texture name
	-1;//wielded script,-1=nothing, only applicable for wieldable items
	-1;//wielded item disabling script, -1=nothing, this script is only checked for conditions while the item is wielded, if the conditions prove false, the item is unwielded
	0;//show help text for conditions
	begin_wield_slots;
	end_wield_slots;
	begin_effects_block;
	end_effects_block;
	begin_combinations;
	end_combinations;
Wood scrap;//name---------------------------------------[MATERIALS]
	102;//identifier
	0;//item class
	1.000000;//weight
	A small pile of wood scrap.;//short description
	none;//first pick up text
	0.500000;//size on map
	0;//show on radar 0=does not show, 1=show on scanner, 2=show even without scanner
	0;//particle to shown on radar
	1;//visible in inventory 0=no (can only be used via quick keys), 1=yes
	scrap_wood.png;//texture name
	-1;//wielded script,-1=nothing, only applicable for wieldable items
	-1;//wielded item disabling script, -1=nothing, this script is only checked for conditions while the item is wielded, if the conditions prove false, the item is unwielded
	0;//show help text for conditions
	begin_wield_slots;
	end_wield_slots;
	begin_effects_block;
	end_effects_block;
	begin_combinations;
	end_combinations;
Metal scrap;//name---------------------------------------[MATERIALS]
	103;//identifier
	0;//item class
	1.500000;//weight
	A small pile of metal scrap and components.;//short description
	none;//first pick up text
	0.500000;//size on map
	0;//show on radar 0=does not show, 1=show on scanner, 2=show even without scanner
	0;//particle to shown on radar
	1;//visible in inventory 0=no (can only be used via quick keys), 1=yes
	scrap_metal.png;//texture name
	-1;//wielded script,-1=nothing, only applicable for wieldable items
	-1;//wielded item disabling script, -1=nothing, this script is only checked for conditions while the item is wielded, if the conditions prove false, the item is unwielded
	0;//show help text for conditions
	begin_wield_slots;
	end_wield_slots;
	begin_effects_block;
	end_effects_block;
	begin_combinations;
	end_combinations;
Electronic scrap;//name---------------------------------------[MATERIALS]
	104;//identifier
	0;//item class
	0.500000;//weight
	A pile of small electronic devices or components such as circuit boards, wires, batteries, switches and other hardware parts;//short description
	none;//first pick up text
	0.500000;//size on map
	0;//show on radar 0=does not show, 1=show on scanner, 2=show even without scanner
	0;//particle to shown on radar
	1;//visible in inventory 0=no (can only be used via quick keys), 1=yes
	scrap_plastic.png;//texture name
	-1;//wielded script,-1=nothing, only applicable for wieldable items
	-1;//wielded item disabling script, -1=nothing, this script is only checked for conditions while the item is wielded, if the conditions prove false, the item is unwielded
	0;//show help text for conditions
	begin_wield_slots;
	end_wield_slots;
	begin_effects_block;
	end_effects_block;
	begin_combinations;
	end_combinations;
Cable coil;//name---------------------------------------[MATERIALS]
	105;//identifier
	0;//item class
	0.500000;//weight
	An insulated cable coil.;//short description
	none;//first pick up text
	0.250000;//size on map
	0;//show on radar 0=does not show, 1=show on scanner, 2=show even without scanner
	0;//particle to shown on radar
	1;//visible in inventory 0=no (can only be used via quick keys), 1=yes
	cable_coil.png;//texture name
	-1;//wielded script,-1=nothing, only applicable for wieldable items
	-1;//wielded item disabling script, -1=nothing, this script is only checked for conditions while the item is wielded, if the conditions prove false, the item is unwielded
	0;//show help text for conditions
	begin_wield_slots;
	end_wield_slots;
	begin_effects_block;
	end_effects_block;
	begin_combinations;
	end_combinations;
Insulation tape;//name---------------------------------------[MATERIALS]
	106;//identifier
	0;//item class
	0.500000;//weight
	It's super handy for any kind of electrical work because it insulates the wires and keeps everything secure.;//short description
	none;//first pick up text
	0.250000;//size on map
	0;//show on radar 0=does not show, 1=show on scanner, 2=show even without scanner
	0;//particle to shown on radar
	1;//visible in inventory 0=no (can only be used via quick keys), 1=yes
	insulation_tape.png;//texture name
	-1;//wielded script,-1=nothing, only applicable for wieldable items
	-1;//wielded item disabling script, -1=nothing, this script is only checked for conditions while the item is wielded, if the conditions prove false, the item is unwielded
	0;//show help text for conditions
	begin_wield_slots;
	end_wield_slots;
	begin_effects_block;
	end_effects_block;
	begin_combinations;
	end_combinations;
Large battery;//name---------------------------------------[MATERIALS]
	107;//identifier
	0;//item class
	0.250000;//weight
	A large battery.;//short description
	none;//first pick up text
	0.500000;//size on map
	0;//show on radar 0=does not show, 1=show on scanner, 2=show even without scanner
	0;//particle to shown on radar
	1;//visible in inventory 0=no (can only be used via quick keys), 1=yes
	qbattery.png;//texture name
	-1;//wielded script,-1=nothing, only applicable for wieldable items
	-1;//wielded item disabling script, -1=nothing, this script is only checked for conditions while the item is wielded, if the conditions prove false, the item is unwielded
	0;//show help text for conditions
	begin_wield_slots;
	end_wield_slots;
	begin_effects_block;
	end_effects_block;
	begin_combinations;
	end_combinations;
Large battery (Dead);//name---------------------------------------[MATERIALS]
	108;//identifier
	0;//item class
	0.250000;//weight
	A large battery. This one is dead.;//short description
	none;//first pick up text
	0.500000;//size on map
	0;//show on radar 0=does not show, 1=show on scanner, 2=show even without scanner
	0;//particle to shown on radar
	1;//visible in inventory 0=no (can only be used via quick keys), 1=yes
	battery_empty.png;//texture name
	-1;//wielded script,-1=nothing, only applicable for wieldable items
	-1;//wielded item disabling script, -1=nothing, this script is only checked for conditions while the item is wielded, if the conditions prove false, the item is unwielded
	0;//show help text for conditions
	begin_wield_slots;
	end_wield_slots;
	begin_effects_block;
	end_effects_block;
	begin_combinations;
	end_combinations;
Small battery pair;//name---------------------------------------[MATERIALS]
	109;//identifier
	0;//item class
	0.250000;//weight
	A pair of small batteries. Can power up smaller devices.;//short description
	none;//first pick up text
	0.500000;//size on map
	0;//show on radar 0=does not show, 1=show on scanner, 2=show even without scanner
	0;//particle to shown on radar
	1;//visible in inventory 0=no (can only be used via quick keys), 1=yes
	small_battery.png;//texture name
	-1;//wielded script,-1=nothing, only applicable for wieldable items
	-1;//wielded item disabling script, -1=nothing, this script is only checked for conditions while the item is wielded, if the conditions prove false, the item is unwielded
	0;//show help text for conditions
	begin_wield_slots;
	end_wield_slots;
	begin_effects_block;
	end_effects_block;
	begin_combinations;
	end_combinations;
Small battery pair (Dead);//name---------------------------------------[MATERIALS]
	110;//identifier
	0;//item class
	0.250000;//weight
	A pair of small batteries. These ones are dead.;//short description
	none;//first pick up text
	0.500000;//size on map
	0;//show on radar 0=does not show, 1=show on scanner, 2=show even without scanner
	0;//particle to shown on radar
	1;//visible in inventory 0=no (can only be used via quick keys), 1=yes
	small_battery_dead.png;//texture name
	-1;//wielded script,-1=nothing, only applicable for wieldable items
	-1;//wielded item disabling script, -1=nothing, this script is only checked for conditions while the item is wielded, if the conditions prove false, the item is unwielded
	0;//show help text for conditions
	begin_wield_slots;
	end_wield_slots;
	begin_effects_block;
	end_effects_block;
	begin_combinations;
	end_combinations;
Metal rod;//name--------------------------------------- **WEAPONS**
	300;//identifier
	0;//item class
	1.000000;//weight
	A long, cylindrical piece of solid metal. Maybe I can make a stun prod if out of it?;//short description
	none;//first pick up text
	0.500000;//size on map
	0;//show on radar 0=does not show, 1=show on scanner, 2=show even without scanner
	0;//particle to shown on radar
	1;//visible in inventory 0=no (can only be used via quick keys), 1=yes
	rod.png;//texture name
	-1;//wielded script,-1=nothing, only applicable for wieldable items
	-1;//wielded item disabling script, -1=nothing, this script is only checked for conditions while the item is wielded, if the conditions prove false, the item is unwielded
	0;//show help text for conditions
	begin_wield_slots;
		0;
	end_wield_slots;
	begin_effects_block;
		none;//event text
			none;//event failure text
			inventory.wav;//sound, none for nothing
			0;//vanishes after event, 0=no, 1=yes
			U;//use key
			-1;//quick key
		;//Key description
			begin_conditions;
			end_conditions;
			begin_effects;
				9;//effect number--------------------------------Attack (METAL ROD)
					806.000000;//parameter1
					0.000000;//parameter2
					0.000000;//parameter3
					0.000000;//parameter4
				39;//effect number--------------------------------Show Durability Bar - METAL ROD
					52.000000;//parameter1
					1.000000;//parameter2
					0.000000;//parameter3
					0.000000;//parameter4
			end_effects;
	end_effects_block;
	begin_combinations;
	    1;//discard this item after combine
    		100;//combines with ----------------------PLASTIC SCRAP
    		1;//discard that item after combine
    		6;//combine time
    		1;//can be broken up
			begin_items_given;
				301;//result of combine ----------------------METAL ROD (INSULATED)
				1;//amount to give
    		end_items_given;
	end_combinations;
Makeshift stun prod (Insulated);//name--------------------------------------- **WEAPONS**
	301;//identifier
	0;//item class
	1.000000;//weight
	A long, cylindrical piece of solid metal. This rod has plastic and rubber handles.;//short description
	none;//first pick up text
	0.500000;//size on map
	0;//show on radar 0=does not show, 1=show on scanner, 2=show even without scanner
	0;//particle to shown on radar
	1;//visible in inventory 0=no (can only be used via quick keys), 1=yes
	rod_0.png;//texture name
	-1;//wielded script,-1=nothing, only applicable for wieldable items
	-1;//wielded item disabling script, -1=nothing, this script is only checked for conditions while the item is wielded, if the conditions prove false, the item is unwielded
	0;//show help text for conditions
	begin_wield_slots;
	end_wield_slots;
	begin_effects_block;
	end_effects_block;
	begin_combinations;
	    1;//discard this item after combine
    		105;//combines with ----------------------CABLE COIL
    		1;//discard that item after combine
    		4;//combine time
    		1;//can be broken up
			begin_items_given;
				302;//result of combine ----------------------METAL ROD (INSULATED, WIRED)
				1;//amount to give
    		end_items_given;
	end_combinations;
Makeshift stun prod (Insulated, Wired);//name--------------------------------------- **WEAPONS**
	302;//identifier
	0;//item class
	1.000000;//weight
	A long, cylindrical piece of solid metal. This rod has plastic and rubber components and wires on it.;//short description
	none;//first pick up text
	0.500000;//size on map
	0;//show on radar 0=does not show, 1=show on scanner, 2=show even without scanner
	0;//particle to shown on radar
	1;//visible in inventory 0=no (can only be used via quick keys), 1=yes
	rod_1.png;//texture name
	-1;//wielded script,-1=nothing, only applicable for wieldable items
	-1;//wielded item disabling script, -1=nothing, this script is only checked for conditions while the item is wielded, if the conditions prove false, the item is unwielded
	0;//show help text for conditions
	begin_wield_slots;
	end_wield_slots;
	begin_effects_block;
	end_effects_block;
	begin_combinations;
	    1;//discard this item after combine
    		104;//combines with ---------------------- ELECTRONIC SCRAP
    		1;//discard that item after combine
    		4;//combine time
    		1;//can be broken up
			begin_items_given;
				303;//result of combine ----------------------METAL ROD (INSULATED, WIRED, SWITCH)
				1;//amount to give
    		end_items_given;
	end_combinations;
Makeshift stun prod (Insulated, Wired, Switch);//name--------------------------------------- **WEAPONS**
	303;//identifier
	0;//item class
	1.000000;//weight
	A long, cylindrical piece of solid metal. This rod has plastic and rubber components and wires on it. There is also a switch to control the flow of current.;//short description
	none;//first pick up text
	0.500000;//size on map
	0;//show on radar 0=does not show, 1=show on scanner, 2=show even without scanner
	0;//particle to shown on radar
	1;//visible in inventory 0=no (can only be used via quick keys), 1=yes
	rod_2.png;//texture name
	-1;//wielded script,-1=nothing, only applicable for wieldable items
	-1;//wielded item disabling script, -1=nothing, this script is only checked for conditions while the item is wielded, if the conditions prove false, the item is unwielded
	0;//show help text for conditions
	begin_wield_slots;
	end_wield_slots;
	begin_effects_block;
	end_effects_block;
	begin_combinations;
	   	1;//discard this item after combine
    		106;//combines with ---------------------- INSULATION TAPE
    		1;//discard that item after combine
    		3;//combine time
    		1;//can be broken up
			begin_items_given;
				304;//result of combine ----------------------METAL ROD (INSULATED, WIRED, SWITCH, SECURED)
				1;//amount to give
    		end_items_given;
	end_combinations;
Makeshift stun prod (Insulated, Wired, Switch, Secured);//name--------------------------------------- **WEAPONS**
	304;//identifier
	0;//item class
	1.000000;//weight
	A long, cylindrical piece of solid metal. This rod has plastic and rubber components and wires on it. There is also a switch to control the flow of current.;//short description
	none;//first pick up text
	0.500000;//size on map
	0;//show on radar 0=does not show, 1=show on scanner, 2=show even without scanner
	0;//particle to shown on radar
	1;//visible in inventory 0=no (can only be used via quick keys), 1=yes
	rod_3.png;//texture name
	-1;//wielded script,-1=nothing, only applicable for wieldable items
	-1;//wielded item disabling script, -1=nothing, this script is only checked for conditions while the item is wielded, if the conditions prove false, the item is unwielded
