Random Terrain;//name---------------------------------------
	This is a tooltip description for the terrain;//tooltip
	0;//identifier
	0;//AI avoids this terrain
	0;//do not place on map edges on random selection
	0;//do not place random objects on this terrain
	0.000000;//base light r
	0.000000;//base light g
	0.000000;//base light b
	-1.000000;//footstep particle live time, -1=no footsteps
	-1;//override footstep particle
	none;//override footstep sound
	begin_terrain_frames;
		random.jpg;//terrain texture
		0.000000;//time to display frame
	end_terrain_frames;
	begin_effects_block;
	end_effects_block;
Empty space;//name--------------------------------------- **SPECIAL FLOORS**
	This is a tooltip description for the terrain;//tooltip
	100;//identifier//{
	0;//AI avoids this terrain
	0;//do not place on map edges on random selection
	1;//do not place random objects on this terrain
	0.000000;//base light r
	0.000000;//base light g
	0.000000;//base light b
	-1.000000;//footstep particle live time, -1=no footsteps
	-1;//override footstep particle
	none;//override footstep sound
	begin_terrain_frames;
		black.bmp;//terrain texture
		0.000000;//time to display frame
	end_terrain_frames;
	begin_effects_block;
	end_effects_block;
Metal floor 1;//name--------------------------------------- **METAL FLOORS**
	This is a tooltip description for the terrain;//tooltip
	200;//identifier//{
	0;//AI avoids this terrain
	0;//do not place on map edges on random selection
	1;//do not place random objects on this terrain
	0.000000;//base light r
	0.000000;//base light g
	0.000000;//base light b
	-1.000000;//footstep particle live time, -1=no footsteps
	-1;//override footstep particle
	none;//override footstep sound
	begin_terrain_frames;
		metal_floor.jpg;//terrain texture
		0.000000;//time to display frame
	end_terrain_frames;
	begin_effects_block;
	end_effects_block;
Metal floor 2;//name--------------------------------------- **METAL FLOORS**
	This is a tooltip description for the terrain;//tooltip
	201;//identifier//{
	0;//AI avoids this terrain
	0;//do not place on map edges on random selection
	1;//do not place random objects on this terrain
	0.000000;//base light r
	0.000000;//base light g
	0.000000;//base light b
	-1.000000;//footstep particle live time, -1=no footsteps
	-1;//override footstep particle
	none;//override footstep sound
	begin_terrain_frames;
		metal_floor_2.jpg;//terrain texture
		0.000000;//time to display frame
	end_terrain_frames;
	begin_effects_block;
	end_effects_block;
Metal floor 3;//name--------------------------------------- **METAL FLOORS**
	This is a tooltip description for the terrain;//tooltip
	202;//identifier//{
	0;//AI avoids this terrain
	0;//do not place on map edges on random selection
	1;//do not place random objects on this terrain
	0.000000;//base light r
	0.000000;//base light g
	0.000000;//base light b
	-1.000000;//footstep particle live time, -1=no footsteps
	-1;//override footstep particle
	none;//override footstep sound
	begin_terrain_frames;
		metal_floor_3.jpg;//terrain texture
		0.000000;//time to display frame
	end_terrain_frames;
	begin_effects_block;
	end_effects_block;
Metal floor 4;//name--------------------------------------- **METAL FLOORS**
	This is a tooltip description for the terrain;//tooltip
	203;//identifier//{
	0;//AI avoids this terrain
	0;//do not place on map edges on random selection
	1;//do not place random objects on this terrain
	0.000000;//base light r
	0.000000;//base light g
	0.000000;//base light b
	-1.000000;//footstep particle live time, -1=no footsteps
	-1;//override footstep particle
	none;//override footstep sound
	begin_terrain_frames;
		metal_floor_4.jpg;//terrain texture
		0.000000;//time to display frame
	end_terrain_frames;
	begin_effects_block;
	end_effects_block;
Metal floor 5;//name--------------------------------------- **METAL FLOORS**
	This is a tooltip description for the terrain;//tooltip
	204;//identifier//{
	0;//AI avoids this terrain
	0;//do not place on map edges on random selection
	1;//do not place random objects on this terrain
	0.000000;//base light r
	0.000000;//base light g
	0.000000;//base light b
	-1.000000;//footstep particle live time, -1=no footsteps
	-1;//override footstep particle
	none;//override footstep sound
	begin_terrain_frames;
		metal_floor_5.jpg;//terrain texture
		0.000000;//time to display frame
	end_terrain_frames;
	begin_effects_block;
	end_effects_block;
Metal floor 6;//name--------------------------------------- **METAL FLOORS**
	This is a tooltip description for the terrain;//tooltip
	205;//identifier//{
	0;//AI avoids this terrain
	0;//do not place on map edges on random selection
	1;//do not place random objects on this terrain
	0.000000;//base light r
	0.000000;//base light g
	0.000000;//base light b
	-1.000000;//footstep particle live time, -1=no footsteps
	-1;//override footstep particle
	none;//override footstep sound
	begin_terrain_frames;
		metal_floor_6.jpg;//terrain texture
		0.000000;//time to display frame
	end_terrain_frames;
	begin_effects_block;
	end_effects_block;
Metal floor 7;//name--------------------------------------- **METAL FLOORS**
	This is a tooltip description for the terrain;//tooltip
	206;//identifier//{
	0;//AI avoids this terrain
	0;//do not place on map edges on random selection
	1;//do not place random objects on this terrain
	0.000000;//base light r
	0.000000;//base light g
	0.000000;//base light b
	-1.000000;//footstep particle live time, -1=no footsteps
	-1;//override footstep particle
	none;//override footstep sound
	begin_terrain_frames;
		metal_floor_7.jpg;//terrain texture
		0.000000;//time to display frame
	end_terrain_frames;
	begin_effects_block;
	end_effects_block;
Metal floor 8;//name--------------------------------------- **METAL FLOORS**
	This is a tooltip description for the terrain;//tooltip
	207;//identifier//{
	0;//AI avoids this terrain
	0;//do not place on map edges on random selection
	1;//do not place random objects on this terrain
	0.000000;//base light r
	0.000000;//base light g
	0.000000;//base light b
	-1.000000;//footstep particle live time, -1=no footsteps
	-1;//override footstep particle
	none;//override footstep sound
	begin_terrain_frames;
		metal_floor_8.jpg;//terrain texture
		0.000000;//time to display frame
	end_terrain_frames;
	begin_effects_block;
	end_effects_block;
Metal floor 9;//name--------------------------------------- **METAL FLOORS**
	This is a tooltip description for the terrain;//tooltip
	208;//identifier//{
	0;//AI avoids this terrain
	0;//do not place on map edges on random selection
	1;//do not place random objects on this terrain
	0.000000;//base light r
	0.000000;//base light g
	0.000000;//base light b
	-1.000000;//footstep particle live time, -1=no footsteps
	-1;//override footstep particle
